Score Crédito,Estado,Gênero,Idade,Tempo como cliente (meses),Saldo,Número de produtos,Possui Cartao de Crédito,Assina mensalidade,Renda Mensal Presumida (R$),Churn_2_meses
814,Minas Gerais,Masculino,29,8,97086.4,2,1,1,8219.83875,0
710,Rio de Janeiro,Masculino,22,8,0.0,2,0,0,4151.876666666666,0
413,São Paulo,Masculino,34,9,0.0,2,0,0,272.2575,0
665,São Paulo,Feminino,40,6,0.0,1,1,1,6743.667916666666,0
623,São Paulo,Feminino,44,6,0.0,2,0,0,6965.10125,0
738,São Paulo,Masculino,31,9,82674.15,1,1,0,1748.78,0
528,Rio de Janeiro,Masculino,36,7,0.0,2,1,0,2522.3566666666666,0
670,Rio de Janeiro,Feminino,65,1,0.0,1,1,1,7402.32,1
622,Rio de Janeiro,Feminino,46,4,107073.27,2,1,1,1291.0245833333333,1
582,Minas Gerais,Masculino,32,1,88938.62,1,1,1,418.93875,0
785,Minas Gerais,Feminino,36,2,99806.85,1,0,1,1540.688333333333,0
605,Rio de Janeiro,Masculino,33,5,150092.8,1,0,0,2994.282916666666,0
479,Minas Gerais,Masculino,35,9,92833.89,1,1,0,4143.744166666666,1
685,Minas Gerais,Masculino,30,3,90536.81,1,0,1,2628.453333333333,0
538,Minas Gerais,Masculino,39,7,108055.1,2,1,0,1134.6358333333333,0
562,São Paulo,Masculino,42,2,100238.35,1,0,0,3616.55875,0
675,Rio de Janeiro,Masculino,36,9,106190.55,1,0,1,958.0966666666667,0
721,Minas Gerais,Masculino,28,9,154475.54,2,0,1,4220.8725,1
628,Minas Gerais,Feminino,30,9,132351.29,2,1,1,3090.380416666667,0
668,Minas Gerais,Feminino,37,6,167864.4,1,1,0,4818.262083333333,0
506,São Paulo,Feminino,41,1,0.0,2,1,0,1323.5958333333333,0
524,Minas Gerais,Feminino,31,8,107818.63,1,1,0,8321.89125,1
699,Minas Gerais,Masculino,34,4,185173.81,2,1,0,5034.77,0
828,São Paulo,Masculino,34,8,129433.34,2,0,0,1588.8237499999998,0
674,Rio de Janeiro,Masculino,39,6,120193.42,1,0,0,4172.122916666666,0
656,São Paulo,Feminino,39,6,0.0,2,1,0,5877.911666666668,0
684,Minas Gerais,Feminino,48,10,126384.42,1,1,1,8255.39,0
625,São Paulo,Feminino,28,3,0.0,1,0,0,7651.93375,0
432,São Paulo,Masculino,42,9,152603.45,1,1,0,4594.385,1
549,São Paulo,Feminino,52,1,0.0,1,0,1,359.8354166666666,1
625,Minas Gerais,Masculino,56,0,148507.24,1,1,0,1951.003333333333,1
828,São Paulo,Feminino,41,7,0.0,2,1,0,7140.782083333333,0
770,São Paulo,Masculino,24,9,101827.07,1,1,0,6969.014583333334,0
758,São Paulo,Feminino,34,3,0.0,2,1,1,5176.09,0
795,Minas Gerais,Feminino,33,9,130862.43,1,1,1,4788.967083333334,0
687,São Paulo,Masculino,38,9,122570.87,1,1,1,1483.7033333333331,0
686,São Paulo,Masculino,25,1,0.0,2,0,1,685.8070833333333,0
789,Minas Gerais,Masculino,39,7,124828.46,2,1,1,5183.795,0
589,Minas Gerais,Feminino,50,5,144895.05,2,1,1,1455.8845833333335,0
461,Minas Gerais,Feminino,34,5,63663.93,1,0,1,6991.011666666666,0
637,São Paulo,Masculino,40,2,133463.1,1,0,1,3881.8891666666655,0
584,Rio de Janeiro,Feminino,48,2,213146.2,1,1,0,3131.71875,1
579,Rio de Janeiro,Feminino,35,1,129490.36,2,0,1,357.95125,1
756,Minas Gerais,Masculino,44,10,137452.09,1,1,0,7897.6624999999985,0
663,São Paulo,Masculino,34,7,0.0,2,1,1,7517.801666666666,0
682,São Paulo,Feminino,43,5,125851.93,1,1,1,8054.930416666666,0
793,Rio de Janeiro,Masculino,52,2,0.0,1,1,0,6630.159166666667,1
691,São Paulo,Feminino,31,5,40915.55,1,1,0,5258.91,1
485,Rio de Janeiro,Feminino,21,5,113157.22,1,1,1,2255.895833333333,0
635,Rio de Janeiro,Feminino,29,8,138296.94,2,1,0,5878.146250000002,0
650,São Paulo,Masculino,37,5,106967.18,1,0,0,1020.62625,0
735,São Paulo,Masculino,44,9,120681.63,1,1,0,3118.1808333333333,0
416,São Paulo,Masculino,32,0,0.0,2,0,1,36.61958333333333,0
754,Rio de Janeiro,Feminino,32,7,0.0,2,1,0,3730.03125,0
535,São Paulo,Feminino,48,9,0.0,1,1,0,6245.532916666668,1
716,Rio de Janeiro,Masculino,42,8,0.0,2,1,0,7533.350833333334,0
539,São Paulo,Masculino,37,2,127609.59,1,1,0,4110.259166666667,0
614,São Paulo,Feminino,43,6,0.0,2,1,1,4543.397083333333,0
706,Rio de Janeiro,Masculino,57,7,0.0,1,1,0,747.5483333333333,1
758,São Paulo,Feminino,33,7,0.0,2,0,0,3458.18625,0
586,Rio de Janeiro,Feminino,28,2,0.0,2,1,1,3836.1395833333336,0
646,São Paulo,Feminino,73,6,97259.25,1,0,1,4363.319166666667,0
631,Minas Gerais,Feminino,33,4,123246.7,1,0,0,4695.315416666667,0
717,Rio de Janeiro,Feminino,22,6,101060.25,1,0,1,3529.148333333333,0
684,São Paulo,Masculino,30,2,0.0,2,1,0,3478.075833333334,0
800,São Paulo,Feminino,49,7,108007.36,1,0,0,1963.54625,0
721,Rio de Janeiro,Feminino,36,2,0.0,2,1,1,4457.408333333334,0
683,Rio de Janeiro,Masculino,29,0,133702.89,1,1,0,2315.9391666666666,1
660,Minas Gerais,Masculino,31,9,125189.75,2,1,1,5828.10125,0
704,Minas Gerais,Feminino,24,7,113034.22,1,1,0,6770.9783333333335,1
615,Rio de Janeiro,Feminino,41,9,109013.23,1,1,0,8187.498333333332,0
667,Rio de Janeiro,Feminino,39,2,0.0,2,1,0,1696.718333333333,1
682,Minas Gerais,Masculino,24,9,57929.81,2,0,0,2213.929166666667,0
484,São Paulo,Feminino,29,4,130114.39,1,1,0,6834.0787500000015,0
628,Minas Gerais,Masculino,27,5,95826.49,2,1,0,6499.873333333332,0
480,Minas Gerais,Masculino,44,10,129608.57,1,1,0,228.02916666666667,1
578,São Paulo,Masculino,30,4,169462.09,1,1,0,4674.462916666666,0
512,São Paulo,Masculino,40,5,0.0,2,1,1,6102.409583333332,0
484,Rio de Janeiro,Feminino,35,7,133868.21,1,1,1,1136.9208333333333,0
510,São Paulo,Feminino,30,0,0.0,2,1,1,5439.727916666667,0
606,Minas Gerais,Masculino,36,5,190479.48,2,0,0,7472.995416666668,0
597,Rio de Janeiro,Feminino,40,8,101993.12,1,0,1,3948.921666666666,0
754,Minas Gerais,Feminino,55,3,161608.81,1,1,0,336.70208333333335,1
850,Rio de Janeiro,Feminino,45,2,122311.21,1,1,1,811.7708333333335,0
510,São Paulo,Masculino,65,2,0.0,2,1,1,2002.98375,0
778,Minas Gerais,Feminino,45,1,162150.42,2,1,0,7272.13625,0
636,São Paulo,Masculino,42,2,0.0,2,1,1,2311.2825,0
804,São Paulo,Feminino,50,4,0.0,1,1,1,356.11958333333337,1
514,São Paulo,Masculino,32,8,0.0,2,1,0,3994.049166666666,0
730,São Paulo,Feminino,39,1,99010.67,1,1,0,8122.741666666666,0
525,Rio de Janeiro,Feminino,37,0,0.0,1,0,1,5480.071666666667,0
616,Rio de Janeiro,Masculino,30,5,0.0,2,0,1,8171.187916666668,0
687,Minas Gerais,Feminino,34,7,111388.18,2,1,0,6190.198333333334,0
715,São Paulo,Feminino,41,8,56214.85,2,0,0,3874.275416666667,1
512,São Paulo,Feminino,36,3,84327.77,2,1,0,736.4733333333335,0
479,São Paulo,Masculino,40,1,0.0,2,0,0,4791.517916666667,0
601,São Paulo,Masculino,32,8,93012.89,1,1,0,3623.225833333333,0
580,Rio de Janeiro,Masculino,29,9,61710.44,2,1,0,5336.575,0
807,São Paulo,Masculino,35,3,174790.15,1,1,1,25.015,0
616,Rio de Janeiro,Feminino,32,6,0.0,2,1,1,1791.7275,0
721,Minas Gerais,Masculino,37,3,107720.64,1,1,1,6607.963333333332,0
501,São Paulo,Masculino,57,10,0.0,2,1,1,1993.632916666667,0
521,São Paulo,Masculino,35,6,96423.84,1,1,0,437.0183333333334,0
850,Rio de Janeiro,Masculino,30,2,141040.01,1,1,1,249.09166666666667,0
759,São Paulo,Masculino,42,4,105420.18,1,0,1,5058.7108333333335,0
516,Rio de Janeiro,Masculino,50,5,0.0,1,0,1,6089.41375,1
711,São Paulo,Feminino,38,2,129022.06,2,1,1,598.9525,1
512,Rio de Janeiro,Masculino,33,3,176666.62,1,1,0,3944.615416666667,0
550,São Paulo,Masculino,37,3,0.0,1,1,1,7486.2629166666675,0
608,Rio de Janeiro,Feminino,41,3,89763.84,1,0,0,8304.364166666666,1
618,São Paulo,Masculino,34,5,134954.53,1,1,1,6331.432916666668,0
643,São Paulo,Masculino,45,5,0.0,1,1,0,5938.0625,1
671,São Paulo,Masculino,45,2,106376.85,1,0,1,6594.359166666666,0
689,Minas Gerais,Masculino,33,2,161814.64,2,1,0,7057.579166666666,0
603,São Paulo,Masculino,31,8,0.0,2,1,1,7079.7925,0
620,São Paulo,Feminino,41,9,0.0,2,0,0,3702.18625,0
676,São Paulo,Feminino,34,1,63095.01,1,1,1,1693.5754166666666,0
572,Minas Gerais,Masculino,26,4,118287.01,2,0,0,2517.804166666667,0
668,Minas Gerais,Masculino,47,7,106854.21,1,0,1,6581.625833333333,1
695,São Paulo,Masculino,46,7,49512.55,1,1,0,5541.9725,0
730,Rio de Janeiro,Feminino,33,9,0.0,2,0,0,7357.359166666666,0
807,São Paulo,Masculino,43,1,105799.32,2,1,0,1453.668333333333,1
592,São Paulo,Masculino,54,8,0.0,1,1,1,1197.4045833333332,1
726,São Paulo,Feminino,31,9,114722.05,2,1,1,4090.77375,0
514,Rio de Janeiro,Masculino,30,7,0.0,1,0,1,5208.76,0
567,São Paulo,Masculino,42,2,0.0,2,1,1,6999.3587499999985,0
850,São Paulo,Masculino,33,10,0.0,1,1,0,202.5716666666667,1
671,Minas Gerais,Masculino,45,6,99564.22,1,1,1,4536.352083333333,1
670,São Paulo,Masculino,37,4,170557.91,2,1,0,8260.536666666667,0
694,São Paulo,Feminino,30,9,0.0,2,1,1,1123.34625,0
547,Minas Gerais,Feminino,39,6,74596.15,3,1,1,3572.771666666667,1
751,Minas Gerais,Masculino,50,2,96888.39,1,1,0,3216.927083333333,1
594,Minas Gerais,Feminino,29,3,130830.22,1,1,0,2543.68875,0
673,São Paulo,Masculino,72,1,0.0,2,0,1,4665.8829166666665,0
610,São Paulo,Masculino,40,0,0.0,2,1,0,2593.025,0
512,São Paulo,Feminino,37,1,0.0,2,0,1,6504.37625,0
767,Minas Gerais,Masculino,20,3,119714.25,2,0,1,6255.640833333334,0
585,São Paulo,Feminino,67,5,113978.97,2,0,1,3881.087916666667,0
763,Minas Gerais,Masculino,42,6,100160.75,1,1,0,1394.289166666667,1
712,São Paulo,Feminino,29,2,0.0,1,1,1,6015.625,0
539,Minas Gerais,Feminino,43,3,116220.5,3,1,0,2325.165,1
668,São Paulo,Feminino,46,2,0.0,3,1,0,3710.3525,1
703,São Paulo,Masculino,28,2,81173.83,2,0,1,6783.84,0
662,Rio de Janeiro,Masculino,38,4,0.0,2,1,0,5677.485416666666,0
725,Minas Gerais,Feminino,39,5,116803.8,1,1,0,5168.87375,0
703,São Paulo,Masculino,37,8,105961.68,2,0,1,3089.9500000000007,0
659,Minas Gerais,Masculino,67,6,117411.6,1,1,1,1877.962083333333,1
523,Rio de Janeiro,Masculino,34,7,0.0,2,1,0,2584.585833333333,0
635,São Paulo,Feminino,40,10,123497.58,1,1,0,5498.05125,1
772,Minas Gerais,Masculino,26,7,152400.51,2,1,0,3308.916666666666,0
545,São Paulo,Feminino,26,1,0.0,2,1,1,8318.273333333333,0
634,Minas Gerais,Masculino,24,8,103097.85,1,1,1,6565.720416666668,0
739,Minas Gerais,Masculino,54,8,126418.14,1,1,0,5600.864583333332,1
771,Minas Gerais,Feminino,36,5,77846.9,1,0,0,4158.582916666667,0
587,Rio de Janeiro,Feminino,34,1,0.0,2,1,1,4080.528333333333,0
681,São Paulo,Feminino,79,0,0.0,2,0,1,7123.707916666666,0
544,Minas Gerais,Masculino,37,2,79731.91,1,1,1,2398.289583333333,0
696,Rio de Janeiro,Masculino,28,8,0.0,1,0,0,7363.06125,0
766,Rio de Janeiro,Masculino,41,0,0.0,2,0,1,1428.467916666667,0
727,São Paulo,Masculino,34,10,0.0,2,1,1,8276.555833333334,0
671,Minas Gerais,Feminino,34,6,37266.67,2,0,0,6538.213333333332,0
693,São Paulo,Feminino,30,6,127992.25,1,1,1,2102.383333333333,0
850,Minas Gerais,Masculino,38,3,54901.01,1,1,1,5836.48125,0
732,Minas Gerais,Masculino,42,9,108748.08,2,1,1,2721.79625,0
726,Rio de Janeiro,Feminino,48,6,99906.19,1,1,0,2680.135,0
557,São Paulo,Feminino,32,6,184686.41,2,1,0,623.1850000000002,0
682,São Paulo,Feminino,26,0,110654.02,1,0,1,4661.63375,0
738,Rio de Janeiro,Masculino,31,9,79019.8,1,1,1,775.2595833333335,0
531,Rio de Janeiro,Feminino,36,9,99240.51,1,1,0,5130.70875,0
498,São Paulo,Masculino,34,2,0.0,2,1,1,6188.676666666666,0
651,São Paulo,Masculino,36,7,0.0,2,1,0,579.0962499999998,0
549,Rio de Janeiro,Feminino,39,7,0.0,1,0,0,3385.802083333333,1
791,Minas Gerais,Feminino,35,7,52436.2,1,1,0,6710.489583333332,0
650,Rio de Janeiro,Masculino,41,9,0.0,2,0,1,7983.319583333334,0
733,Minas Gerais,Masculino,34,3,100337.96,3,1,0,2023.2995833333332,1
811,Minas Gerais,Feminino,34,1,149297.19,2,1,1,7764.155833333332,0
707,São Paulo,Masculino,30,8,0.0,2,1,0,1381.6404166666669,0
712,Minas Gerais,Masculino,28,4,145605.44,1,0,1,3911.81375,0
706,Rio de Janeiro,Feminino,37,7,0.0,2,1,1,4620.804166666667,0
756,São Paulo,Masculino,62,3,0.0,1,1,1,466.6266666666667,1
777,São Paulo,Feminino,53,10,0.0,2,1,0,7916.37375,0
646,São Paulo,Masculino,35,6,84026.86,1,0,1,6843.9870833333325,0
714,São Paulo,Masculino,46,1,0.0,1,1,0,6340.324583333334,1
782,São Paulo,Masculino,39,8,0.0,2,1,1,1414.5695833333332,0
775,Rio de Janeiro,Masculino,29,10,0.0,2,1,1,2839.330416666666,0
479,Minas Gerais,Masculino,35,4,138718.92,1,1,1,1968.824583333333,1
807,São Paulo,Masculino,42,7,118274.71,1,1,1,1078.5716666666667,0
799,São Paulo,Feminino,22,8,174185.98,2,0,1,8026.4104166666675,0
675,São Paulo,Masculino,40,7,113208.86,2,1,0,1440.7233333333334,0
602,Rio de Janeiro,Masculino,29,5,103907.28,1,1,0,6717.91,0
475,São Paulo,Feminino,32,8,119023.28,1,1,0,4200.67875,0
744,Rio de Janeiro,Feminino,26,5,166297.89,1,1,1,7570.6016666666665,0
588,Rio de Janeiro,Masculino,34,10,0.0,2,1,0,3294.9545833333336,0
703,Minas Gerais,Masculino,42,9,63227.0,1,0,1,5721.513333333332,0
747,Rio de Janeiro,Feminino,41,5,94521.17,2,1,0,8121.9524999999985,0
583,São Paulo,Masculino,27,7,0.0,2,1,0,2136.8954166666667,0
750,Rio de Janeiro,Feminino,34,9,112822.26,1,0,0,6266.730416666666,1
681,São Paulo,Masculino,38,3,0.0,2,1,1,4687.165,0
773,São Paulo,Masculino,25,2,135903.33,1,1,0,3069.015833333333,0
714,São Paulo,Feminino,31,4,125169.26,1,1,1,4443.20375,0
687,Rio de Janeiro,Feminino,44,7,0.0,3,1,0,6493.8966666666665,1
511,São Paulo,Masculino,58,0,149117.31,1,1,1,6774.979583333334,0
627,São Paulo,Masculino,33,5,0.0,2,1,1,4322.409166666667,0
694,São Paulo,Feminino,31,10,0.0,2,1,0,6707.9279166666665,0
616,Rio de Janeiro,Feminino,36,6,132311.71,1,0,0,644.285,0
687,São Paulo,Masculino,35,8,0.0,2,1,0,430.5854166666666,0
712,São Paulo,Feminino,33,6,0.0,2,1,1,7945.256666666667,0
553,São Paulo,Masculino,33,4,118082.89,1,0,0,3935.01875,0
667,São Paulo,Masculino,31,1,119266.69,1,1,1,1177.40125,0
731,São Paulo,Masculino,43,2,0.0,1,1,1,7084.789583333334,1
629,Minas Gerais,Masculino,35,7,156847.29,2,1,0,1326.0120833333333,0
614,São Paulo,Masculino,50,4,137104.47,1,1,0,5298.60375,1
438,Minas Gerais,Masculino,31,8,78398.69,1,1,0,1872.375416666667,0
652,São Paulo,Feminino,80,4,0.0,2,1,1,7858.46125,0
729,Minas Gerais,Masculino,30,6,63669.42,1,1,0,6046.307083333332,0
642,São Paulo,Masculino,38,3,0.0,2,0,0,7144.326249999999,0
806,Minas Gerais,Feminino,59,0,135296.33,1,1,0,7617.604166666668,0
744,Rio de Janeiro,Masculino,36,2,153804.44,1,1,1,3633.88875,0
474,Rio de Janeiro,Masculino,37,3,0.0,2,0,0,2382.305,0
559,São Paulo,Masculino,49,2,147069.78,1,1,0,5022.534583333333,1
706,Rio de Janeiro,Masculino,42,9,0.0,2,1,1,1196.4308333333333,0
628,Rio de Janeiro,Feminino,22,3,0.0,1,1,0,3559.4283333333333,0
429,São Paulo,Masculino,24,4,95741.75,1,1,0,1923.78125,0
525,Rio de Janeiro,Feminino,57,2,145965.33,1,1,1,2685.348333333333,0
680,São Paulo,Feminino,30,8,141441.75,1,1,1,678.2904166666666,0
749,São Paulo,Masculino,40,1,139290.41,1,1,0,7618.975833333334,1
763,São Paulo,Feminino,31,4,0.0,2,0,0,2100.1966666666667,0
734,São Paulo,Masculino,30,3,0.0,2,1,0,4485.010416666667,0
716,São Paulo,Masculino,35,4,144428.87,1,1,0,5588.860416666666,0
594,São Paulo,Masculino,35,2,0.0,2,1,0,4311.6954166666665,0
644,São Paulo,Feminino,46,9,95441.27,1,1,0,4531.710416666667,1
671,Minas Gerais,Masculino,35,1,144848.74,1,1,1,7458.845833333333,0
664,Minas Gerais,Masculino,26,7,116244.14,2,1,1,3964.380833333333,0
656,São Paulo,Masculino,50,7,0.0,2,0,1,3005.976666666667,0
667,Rio de Janeiro,Feminino,40,1,146502.07,1,1,0,798.45375,0
663,Minas Gerais,Masculino,44,2,117028.6,2,0,1,6028.340833333333,0
584,Minas Gerais,Feminino,30,8,112013.81,1,1,0,7407.167916666666,1
626,Rio de Janeiro,Feminino,37,6,108269.37,1,1,0,233.2475,0
485,São Paulo,Masculino,29,7,182123.79,1,1,0,4867.854583333333,1
659,Minas Gerais,Feminino,32,3,150923.74,2,0,1,7277.187916666668,0
649,São Paulo,Masculino,33,2,0.0,2,1,0,83.79083333333334,0
805,Rio de Janeiro,Feminino,39,5,165272.13,1,1,0,587.9104166666667,1
716,Minas Gerais,Feminino,39,10,115301.31,1,1,0,1813.6416666666669,1
642,Minas Gerais,Feminino,40,6,129502.49,2,0,1,3587.467916666666,1
659,São Paulo,Masculino,31,4,118342.26,1,0,0,6732.2579166666665,0
545,Rio de Janeiro,Feminino,47,5,0.0,2,1,1,1623.7558333333334,0
543,São Paulo,Masculino,22,8,0.0,2,0,0,5316.134166666667,0
718,São Paulo,Feminino,25,7,0.0,2,1,0,1265.8383333333334,0
840,São Paulo,Feminino,43,7,0.0,2,1,0,3787.8729166666662,0
630,Minas Gerais,Feminino,34,9,106937.05,2,1,0,5761.458750000002,0
643,Minas Gerais,Masculino,59,3,170331.37,1,1,1,1340.49125,0
654,Minas Gerais,Feminino,32,1,114510.85,1,1,1,5255.9679166666665,0
582,São Paulo,Masculino,39,5,0.0,2,1,1,5412.205416666667,0
659,Rio de Janeiro,Masculino,32,3,107594.11,2,1,1,4267.368333333333,0
762,Rio de Janeiro,Masculino,39,2,81273.13,1,1,1,779.9862499999998,0
568,Rio de Janeiro,Feminino,32,7,169399.6,1,1,0,2580.6758333333332,0
670,Rio de Janeiro,Masculino,25,6,0.0,2,1,1,3264.955833333333,0
613,São Paulo,Feminino,45,1,187841.99,2,1,1,6134.344583333333,0
539,São Paulo,Masculino,30,0,0.0,2,1,0,6707.485833333332,0
